n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
140	16091	1497291914	0.75422190656566	0.15360637626263	9.4625157828283	9.4940534204217		
141	16091	1497291915	0.73540088383838	0.1796875	9.4517045454545	9.482342075117		
142	16091	1497291916	0.86099273989899	0.17341382575758	9.4467724116162	9.4892688800515		
143	16091	1497291917	1.1062973484848	0.14670138888889	9.4161142676768	9.4823503136525		
144	16091	1497291918	1.099944760101	0.17144097222222	9.4101167929293	9.4761263313483		
145	16091	1497291919	1.1004971590909	0.19468118686869	9.4481534090909	9.5145643097254		
146	16091	1497291920	1.2412890625	0.16921875	9.41921875	9.5024313369811		
147	16091	1497291921	1.195950255102	0.15712691326531	9.423190369898	9.5003516419643		
148	16091	1497291922	1.286796875	0.1328125	9.403125	9.4919671230009		
149	16091	1497291923	1.2898910984848	0.11395202020202	9.4182844065657	9.5070963942034		
150	16091	1497291924	1.2834375	0.08984375	9.4008984375	9.4887598222316		
151	16091	1497291925	1.247109375	0.0929296875	9.4060546875	9.4890835955792		
152	16091	1497291926	1.1969921875	0.1047265625	9.4221875	9.4987348620533		
153	16091	1497291927	1.3217578125	0.07328125	9.3933203125	9.486619524636		
154	16091	1497291928	1.3680078125	0.0762109375	9.402734375	9.5023114671849		
155	16091	1497291929	1.3878235479798	0.082820391414141	9.407867739899	9.5104406608618		
156	16091	1497291930	1.274140625	0.0703515625	9.405625	9.4926932911134		
157	16091	1497291931	0.88166824494949	0.10065498737374	9.4479955808081	9.4911661938487		
158	16091	1497291932	0.63869160353535	0.16591698232323	9.4714330808081	9.4971373786986	s	s
159	16091	1497291933	0.40286192602041	0.32844387755102	9.482102997449	9.5029141270846		
160	16091	1497291934	0.2217578125	0.279609375	9.485546875	9.4927846330067		
161	16091	1497291935	0.2222975127551	0.26000478316327	9.4865672831633	9.4934159030246		
162	16091	1497291936	0.6353515625	0.76	9.4190234375	9.5264739075908		
163	16091	1497291937	0.94456281565657	1.6968513257576	9.5552004419192	9.8332815894565		
164	16091	1497291938	0.5581640625	1.3618359375	9.434375	9.5897065502684		
165	16091	1497291939	0.3477734375	1.3458984375	9.4570703125	9.5588674580624		
166	16091	1497291940	0.36122744845361	1.3660196520619	9.4627094072165	9.5676778523282		
167	16091	1497291941	0.348125	1.365703125	9.4665234375	9.5709098259958		
168	16091	1497291942	0.345859375	1.3656640625	9.4669921875	9.5712969165251		
169	16091	1497291943	0.34761679292929	1.3658065025253	9.4653961489899	9.5697971841101		
170	16091	1497291944	0.35256926546392	1.3680331829897	9.4657297036082	9.5706287814517		
171	16091	1497291945	0.35175978535354	1.3664772727273	9.463502209596	9.5681850671131		
172	16091	1497291946	0.34841358418367	1.3650749362245	9.462252869898	9.5666245378424		
173	16091	1497291947	0.34718276515152	1.3682528409091	9.463502209596	9.5682635890343		
174	16091	1497291948	0.34646045918367	1.3641980229592	9.4619339923469	9.5662642077496		
175	16091	1497291949	0.34717793367347	1.3644371811224	9.4631696428571	9.5673879843467		
176	16091	1497291950	0.206484375	1.3569921875	9.4696875	9.5699224255448		
177	16091	1497291951	0.14772727272727	1.3568892045455	9.5100220959596	9.6119434372139	s	d
178	16091	1497291952	0.43109375	1.367890625	9.50734375	9.6225926651137		
179	16091	1497291953	0.6969921875	1.3448828125	9.5162109375	9.6365579981723		
180	16091	1497291954	0.8325836489899	1.3291903409091	9.4997238005051	9.629928515724		
181	16091	1497291955	0.49116161616162	1.3501815025253	9.4937657828283	9.603908177149		
182	16091	1497291956	0.58802872474747	1.3381865530303	9.5023674242424	9.6180690706843		
183	16091	1497291957	0.69765625	1.3638671875	9.506015625	9.6311960137226		
184	16091	1497291958	0.6592578125	1.3602734375	9.4980859375	9.6202408137066		
185	16091	1497291959	0.60337752525253	1.3344381313131	9.5094696969697	9.6250339296788		
186	16091	1497291960	0.463515625	1.3683203125	9.489765625	9.6006016018621		
187	16091	1497291961	0.3749609375	1.366953125	9.5059375	9.6129591210935		
188	16091	1497291962	0.4316796875	1.3353515625	9.4792578125	9.5844330404394		
189	16091	1497291963	0.40865688131313	1.3441445707071	9.487610479798	9.59316194303		
190	16091	1497291964	0.34019886363636	1.3680555555556	9.5226878156566	9.6285839596879		
191	16091	1497291965	0.26359215561224	1.3523995535714	9.3903858418367	9.4931370462863		
192	16091	1497291966	0.24944196428571	1.3539142219388	9.5616230867347	9.6621728580566		
193	16091	1497291967	0.22546875	1.3522265625	9.5012890625	9.6014884935714		
194	16091	1497291968	0.15246212121212	1.3668718434343	9.48828125	9.5899718368953		
195	16091	1497291969	0.20484375	1.3495703125	9.4543359375	9.5551454829174		
196	16091	1497291970	0.46359375	1.3355859375	9.453359375	9.5607857128599		
197	16091	1497291971	0.7683984375	1.3744921875	9.4794140625	9.6135932906647		
198	16091	1497291972	0.9103515625	1.428671875	9.4228515625	9.578976005595		
199	16091	1497291973	1.1066796875	1.4660546875	9.480078125	9.6608423132539		
200	16091	1497291974	1.1667578125	1.608828125	9.3989453125	9.6118227328019		
201	16091	1497291975	1.1704545454545	1.6408222853535	9.4030934343434	9.6200681616174		
202	16091	1497291976	1.12609375	1.6337890625	9.4298828125	9.6392386842769		
203	16091	1497291977	0.82453762755102	1.5607063137755	9.4331951530612	9.5999351209856		
204	16091	1497291978	0.77515625	1.465546875	9.4230859375	9.5705138923808		
205	16091	1497291979	0.81289457070707	1.3888099747475	9.4270438762626	9.5660838231034		
206	16091	1497291980	0.8034765625	1.3550390625	9.4373828125	9.5692726392372		
207	16091	1497291981	0.76929450757576	1.338896780303	9.4444049873737	9.5718533306049		
208	16091	1497291982	0.77438446969697	1.3671480429293	9.4783380681818	9.6087577945062		
209	16091	1497291983	0.7627734375	1.4898046875	9.4273046875	9.5765942323125		
210	16091	1497291984	0.763125	1.5674609375	9.4107421875	9.5718449377763		
211	16091	1497291985	0.79261363636364	1.5996291035354	9.4298453282828	9.5982868860043		
212	16091	1497291986	0.79715119949495	1.5731139520202	9.4181660353535	9.5827416116761		
213	16091	1497291987	0.788046875	1.5290234375	9.4162109375	9.573240384767		
214	16091	1497291988	0.85622608418367	1.5222018494898	9.4261798469388	9.5887909407962		
215	16091	1497291989	0.92299107142857	1.470703125	9.4464684311224	9.6079842279241		
216	16091	1497291990	1.01984375	1.4624609375	9.43453125	9.6058736637974		
217	16091	1497291991	1.075078125	1.421015625	9.41578125	9.5868305662992		
