n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
154	16101	1497344064	0.56538036616162	1.9642913510101	9.0744554924242	9.3041851542326		
155	16101	1497344065	0.620546875	2.056015625	9.074609375	9.3270255569154		
156	16101	1497344066	0.86810427295918	1.9702646683673	9.0454400510204	9.3024377426852		
157	16101	1497344067	0.9705859375	1.964453125	9.02625	9.289623094868		
158	16101	1497344068	1.133125	2.0044921875	9.0464453125	9.3365280368148		
159	16101	1497344069	1.2308984375	2.0253515625	9.0030078125	9.3103410761928		
160	16101	1497344070	1.3212789948454	2.0223904639175	9.0029800257732	9.3222004941615		
161	16101	1497344071	1.491640625	2.0471484375	8.974375	9.3261161893631		
162	16101	1497344072	1.625	2.0897253787879	8.9627130681818	9.3461870998007		
163	16101	1497344073	1.5721275252525	2.0803740530303	8.9607796717172	9.3328517911124		
164	16101	1497344074	1.5811328125	2.0348828125	8.9738671875	9.336841849648		
165	16101	1497344075	1.6187890625	2.0498046875	8.968125	9.340949328723		
166	16101	1497344076	1.303984375	2.0515625	8.9958984375	9.3257694085939		
167	16101	1497344077	1.0323660714286	2.0163823341837	9.0293367346939	9.3099177364718		
168	16101	1497344078	1.2738715277778	1.9844933712121	9.0235558712121	9.3408227644477		
169	16101	1497344079	0.63578125	1.9708203125	9.0882421875	9.3251838262592	s	s
170	16101	1497344080	0.5898046875	1.894609375	9.0982421875	9.320066567258		
171	16101	1497344081	0.5753235479798	1.8424873737374	9.1122553661616	9.3165536046012		
172	16101	1497344082	0.58534564393939	1.9163904671717	9.0850299873737	9.3069940331539		
173	16101	1497344083	0.62336575255102	1.911790497449	9.0953443877551	9.3150745470434		
174	16101	1497344084	0.63169642857143	1.9015066964286	9.0955038265306	9.3136594106242		
175	16101	1497344085	0.6298324742268	1.9309761597938	9.0884342783505	9.3126816501878		
176	16101	1497344086	0.63452646683673	1.9290098852041	9.0873724489796	9.3115463546989		
177	16101	1497344087	0.6351243622449	1.9116709183673	9.0887276785714	9.3093512672685		
178	16101	1497344088	0.63910361842105	1.8976151315789	9.0969161184211	9.3147285084531		
179	16101	1497344089	0.6357925257732	1.9251369201031	9.0907699742268	9.314147486348		
180	16101	1497344090	0.63553503787879	1.9186000631313	9.0927635732323	9.3147374904825		
181	16101	1497344091	0.63890625	1.8892578125	9.0966015625	9.3127075225895		
182	16101	1497344092	0.63603414948454	1.9142638530928	9.089481314433	9.3106637027318		
183	16101	1497344093	0.63580197704082	1.9210379464286	9.0939492984694	9.3164238538304		
184	16101	1497344094	0.64885305851064	1.884142287234	9.0962433510638	9.3120071892099		
185	16101	1497344095	0.64579264322917	1.9012451171875	9.0972086588542	9.3162143834536		
